ID,Level Description,Category,DisplayName,InternalName?,Summary,Full_Description,CTAButtonTitle,Action_Provider,CTAURL,DDMType,EvidenceBasisURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Applicable Wellness Levels (separated by comma),Applicable Pillar (pillar name separated by comma),Score,Maintenance Ref,Region,Postcode,Free_paid,retrocession,Frequency,Periodicity,Total Iterations,Topic,Ml-MOT Flag
319,Educational foundation,Foundation,Visit the library,319,Visit your local library to enjoy its many benefits.,"Maybe you want to grow your love of reading, access the internet or attend an event. Try and visit your library regularly and make it a habit for life.",Add to habits,UK Government,https://www.gov.uk/local-library-services,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Learning,1,,,,Free,,every 2 weeks,1 year,24,,
320,Identifying upskill opportunities,Foundation,Workplace support,320,Help and support to think differently about working longer.,Think differently about working as you get older. Staying in work and taking control of when and how you retire can give you more money in later life as well as benefit your health and wellbeing.,Read,,https://www.halixia.com/ma/workplace-support-320,Development,,40-99,"Male, Female, Non-Conforming",Working,2,Learning,3,,,,Free,,,,,"Current Job,Flexible Working,Workplace rights",Y
322,Up- and Re-skilling,Upskill,Transferable skills,322,The importance of transferable skills.,You are already likely to possess many transferable skills employers value. Highlighting your transferable skills is especially important when changing jobs or industries.,Read,,https://www.halixia.com/ma/transferable-skills-322,Development,,0-99,"Male, Female, Non-Conforming",Working,3,Learning,2,323,,,Paid,,,,,"New Job,Upskilling,Self-Employment,Transferable Skills",Y
323,Up- and Re-skilling,Upskill,Transferable skills,323,Enhance your transferable skills.,You are already likely to possess many transferable skills employers value. Identifying them and taking a course to enhance and highlight them to help with career change.,Add to habits,Coursera,https://www.coursera.org/articles/transferable-skills,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,1,,,,Paid,,weekly,6 months,24,,
324,Identifying upskill opportunities,Share,Digital buddy,324,Could you be a digital buddy and help others get online?,"Do you know your way around a computer and feel confident in helping someone else? Find out about volunteering your time as a digital buddy, encouraging others to get online.",Do,,https://www.halixia.com/ma/digital-buddy-324,Development,,40-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,3,325,,,Free,,,,,"Upskilling,Early Retirement,Give Back,Digital skills",Y
325,Identifying upskill opportunities,Share,Be a digital buddy,325,Volunteer as a digital buddy and help others get online.,"Volunteer your time as a digital buddy, encouraging others to get online. Improving others digital capability is a great way to get into the volunteering habit.",Add to habits,Age UK,https://www.ageuk.org.uk/get-involved/volunteer/become-an-age-uk-digital-buddy/,Maintenance,,60-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Learning,1,,,,Free,,weekly,6 months,24,,
326,Advanced Learning,Foundation,Get into TED Talks,326,Spark your curiosity with a TED talk or other video content.,TED talks are short powerful talks of free knowledge from the world's most inspired thinkers. Get inspired with these guides to the most popular TED talks and other video content,Watch,,https://www.halixia.com/ma/get-into-ted-talks-326,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Learning,1,327,,,Free,,,,,"Early Retirement,Lifelong learning",Y
327,Advanced Learning,Foundation,Become a TED member,327,Support and connect with the big ideas you love.,"TED Membership allows you engage regularly to access great member benefits to connect with big ideas and stay curious. Plus, membership contributions keep TED Talks accessible for all.",Add to habits,TED,https://www.ted.com/membership,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Learning,1,,,,Paid,,2 times a week,3 months,24,,
328,Advanced Learning,Foundation,Be your own boss,328,Guidance on becoming your own boss.,"Starting a business or becoming self-employed is a lifelong dream for many, however, it can also be risky so legal and financial aspects need to be carefully considered.",Read,,https://www.halixia.com/ma/be-your-own-boss-328,Development,,40-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Learning,3,,,,Free,,,,,Self-Employment,Y
330,Up- and Re-skilling,Foundation,New business ideas,330,Ideas for starting your own business in retirement.,Starting a new business in retirement doesn’t need to be a huge endeavour. It's not about working like crazy just having something enjoyable to give a sense of fulfilment and satisfaction.,Read,,https://www.halixia.com/ma/new-business-ideas-330,Development,,40-99,"Male, Female, Non-Conforming",Retired,3,Learning,3,,,,Free,,,,,Self-Employment,Y
332,Up- and Re-skilling,Upskill,Considering a degree,332,Flexible distance learning with the Open University.,"As experts in distance learning The Open University provides world-leading teaching strategies, meaning you will get a great learning experience that works flexibly for you.",Visit site,,https://www.halixia.com/ma/considering-a-degree-332,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,3,333,,,Paid,,,,,"Upskilling,Early Retirement,Get a degree",Y
333,Up- and Re-skilling,Upskill,Study for a degree,333,Flexible distance learning with the Open University.,"Open University provides world-leading distance learning, meaning you will get a great learning experience that works flexibly for you. Take the plunge and sign up for a degree.",Add to habits,Open University,https://www.open.ac.uk,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Learning,1,,,,Paid,,monthly,3 years,36,,
334,Teaching,Share,Teach creative arts,334,Find out how you could teach creative arts on Skillshare.,Skillshare allows you to create courses where you can teach others your creative skills. Get acquainted with its approach to teaching online and everything you need to get started.,Visit site,,https://www.halixia.com/ma/teach-creative-arts-334,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Learning,2,335,,,Free,,,,,"Early Retirement,Self-Employment,Teaching",Y
335,Teaching,Share,Teach creative arts,335,Sign up to teach creative arts on Skillshare.,Create a course on Skillshare and teach others your creative skills. The platform offers the resources and support to help you create classes to inspire and build a habit of giving back.,Add to habits,Skillshare,https://www.skillshare.com/en/teach,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Learning,1,,,,Free,,weekly,6 months,24,,
336,Teaching,Share,Teach with Udemy,336,Find out how to become an Udemy instructor and change lives.,"Udemy offers free course creation with easy-to-follow steps to help in the creation of your course, which will consist of videos and lectures with the option to add assignments and quizzes.",Visit site,,https://www.halixia.com/ma/teach-with-udemy-336,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Learning,3,337,,,Paid,,,,,,
337,Teaching,Share,Teach with Udemy,337,Become an Udemy instructor and change lives.,Udemy's free course creation with easy-to-follow steps will help in the creation of your course. You'll soon be set up and able to share your passion with others and get in the habit of giving back.,Add to habits,Udemy,https://click.linksynergy.com/deeplink?id=L8N3em0sP4o&mid=47900&murl=https://www.udemy.com/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Learning,1,,,,Paid,,weekly,6 months,24,,
338,Teaching,Share,Try teaching,338,Find out about teaching in Further Education.,"If you have real-world industry experience, you already have what it takes to teach in further education, and you don’t always need teaching experience or an academic degree to get started.",Read,,https://www.halixia.com/ma/try-teaching-338,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Learning,3,339,,,Free,,,,,"Upskilling,Early Retirement,Self-Employment,Teaching",Y
339,Teaching,Share,Teach,339,Share your skills by teaching in Further Education.,"Use your real-world industry experience to teach in further education, and you don’t always need teaching experience or an academic degree to get started.",Add to habits,UK Government,https://www.teach-in-further-education.campaign.gov.uk/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Learning,1,,,,Free,,weekly,6 months,24,,
340,Educational foundation,Upskill,Benefits of reading,340,Why and how you can read every day.,"Listen to this podcast and explore losing yourself in a novel for a short time each day and how it can boost your brainpower, improve social bonds and, surprisingly, help you live longer.",Listen,,https://www.halixia.com/ma/benefits-of-reading-340,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Learning,1,341,,,Free,,,,,,
341,Educational foundation,Upskill,Keep reading,341,Boost your brain power by reading every day.,"Boost your brainpower, improve social bonds and, surprisingly, help you live longer. Set yourself a reading challenge and get a great habit.",Add to habits,Book Riot,https://bookriot.com/diy-reading-challenges/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Learning,1,,,,Free,,daily,1 month,28,,
342,Middle circle,Belong,Online games,342,Online drawing and guessing games to play with others.,Have fun with friends and family even if you are not together by playing online games to stay connected.,Visit site,,https://www.halixia.com/ma/online-games-342,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Community,2,343,,,Free,,,,,"F&F,Relax,Virtual activities",Y
343,Middle circle,Belong,Game with friends,343,Spend time playing games with friends and family.,Set aside time once a month to spend time playing games online with friends and family that live far away.,Sign me up,skribbl,https://skribbl.io/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Community,1,,,,Free,,monthly,6 months,6,,
344,Middle circle,Belong,Eating together,344,The benefits of eating together with friends and family.,"Eating meals together improves mood, combats feelings of isolation, and even improves self-image.",Read,,https://www.halixia.com/ma/eating-together-344,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Community,2,345,,,Free,,,,,"F&F,Eating together",Y
345,Middle circle,Belong,Meals together,345,Plan meals together with friends and family.,Set aside time once a month to spend time with friends and family by having a meal together and start forming a habit of spending quality time with loved ones.,Sign me up,BBC,https://www.bbc.co.uk/food/collections/family_feasts,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Community,1,,,,Free,,monthly,6 months,6,,
